title,skills
Python Developer,python flask django api rest sql git
Data Scientist,python machine-learning pandas numpy statistics data-analysis sklearn
Frontend Developer,html css javascript react redux responsive-design ui ux
Backend Developer,java spring boot api microservices sql mongodb git
Full Stack Developer,html css javascript react nodejs express mongodb sql git
Machine Learning Engineer,python tensorflow pytorch machine-learning deep-learning data-preprocessing
DevOps Engineer,aws docker kubernetes ci cd linux scripting monitoring
Software Engineer,java python c++ data-structures algorithms oop problem-solving
Android Developer,java kotlin android sdk firebase rest-api ui
Cloud Engineer,aws azure gcp cloud-computing networking security devops
Cybersecurity Analyst,network-security ethical-hacking penetration-testing cryptography siem
Data Analyst,excel sql python powerbi tableau data-visualization statistics
AI Engineer,python deep-learning nlp computer-vision tensorflow pytorch
Web Developer,html css javascript bootstrap react nodejs api
QA Engineer,testing automation selenium junit testng bug-tracking
System Administrator,linux networking shell-scripting server-management security
Blockchain Developer,solidity ethereum smart-contracts web3 cryptography
Game Developer,c++ unity unreal-engine game-design graphics physics
Embedded Systems Engineer,c c++ microcontrollers iot firmware rtos hardware
UI UX Designer,figma adobe-xd wireframing prototyping user-research design-thinking
